,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
119,118,Eric Hosmer,- - -,104.0,380.0,419.0,102.0,75.0,19.0,0.0,8.0,38.0,44.0,37.0,5.0,64.0,1.0,1.0,0.0,12.0,0.0,0.0,0.268
120,119,Jose Miranda,MIN,125.0,444.0,483.0,119.0,79.0,25.0,0.0,15.0,45.0,66.0,28.0,0.0,91.0,10.0,1.0,0.0,19.0,1.0,1.0,0.268
121,120,Travis d'Arnaud,ATL,107.0,396.0,426.0,106.0,62.0,25.0,1.0,18.0,61.0,60.0,19.0,0.0,90.0,11.0,0.0,0.0,12.0,0.0,0.0,0.268
122,121,Santiago Espinal,TOR,135.0,449.0,491.0,120.0,88.0,25.0,0.0,7.0,51.0,51.0,36.0,1.0,68.0,2.0,3.0,1.0,12.0,6.0,6.0,0.267
123,122,George Springer,TOR,133.0,513.0,583.0,137.0,86.0,22.0,4.0,25.0,89.0,76.0,54.0,1.0,100.0,7.0,5.0,0.0,7.0,14.0,2.0,0.267
124,123,Corey Dickerson,STL,97.0,281.0,297.0,75.0,51.0,17.0,1.0,6.0,28.0,36.0,12.0,1.0,48.0,2.0,2.0,0.0,4.0,0.0,0.0,0.267
125,124,Pablo Reyes,MIL,6.0,15.0,16.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267
126,125,Cody Thomas,OAK,10.0,30.0,32.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267
127,126,Teoscar Hernandez,TOR,131.0,499.0,535.0,133.0,72.0,35.0,1.0,25.0,71.0,77.0,34.0,0.0,152.0,2.0,0.0,0.0,18.0,6.0,3.0,0.267
128,127,Josh Bell,- - -,156.0,552.0,647.0,147.0,98.0,29.0,3.0,17.0,78.0,71.0,81.0,4.0,102.0,5.0,6.0,0.0,22.0,0.0,1.0,0.266
129,128,Mark Canha,NYM,140.0,462.0,542.0,123.0,86.0,24.0,0.0,13.0,71.0,61.0,48.0,1.0,97.0,28.0,4.0,0.0,3.0,3.0,1.0,0.266
130,129,Brendan Rodgers,COL,137.0,527.0,581.0,140.0,94.0,30.0,3.0,13.0,72.0,63.0,46.0,0.0,101.0,3.0,5.0,0.0,25.0,0.0,0.0,0.266
131,130,Ronald Acuna Jr.,ATL,119.0,467.0,533.0,124.0,85.0,24.0,0.0,15.0,71.0,50.0,53.0,4.0,126.0,10.0,3.0,0.0,8.0,29.0,11.0,0.266
132,131,Jason Vosler,SFG,36.0,98.0,111.0,26.0,15.0,6.0,1.0,4.0,14.0,12.0,10.0,1.0,29.0,2.0,1.0,0.0,3.0,1.0,1.0,0.265
133,132,Jordan Diaz,OAK,15.0,49.0,51.0,13.0,10.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.265
134,133,Raimel Tapia,TOR,128.0,411.0,433.0,109.0,79.0,20.0,3.0,7.0,47.0,52.0,16.0,0.0,81.0,0.0,1.0,3.0,12.0,8.0,2.0,0.265
135,134,Tommy Edman,STL,153.0,577.0,630.0,153.0,105.0,31.0,4.0,13.0,95.0,57.0,46.0,2.0,111.0,5.0,1.0,1.0,10.0,32.0,3.0,0.265
136,135,Zach Reks,TEX,16.0,34.0,34.0,9.0,8.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.265
137,136,Bubba Thompson,TEX,55.0,170.0,181.0,45.0,39.0,5.0,0.0,1.0,18.0,9.0,7.0,0.0,56.0,2.0,0.0,2.0,2.0,18.0,3.0,0.265
138,137,Charlie Blackmon,COL,135.0,530.0,577.0,140.0,96.0,22.0,6.0,16.0,60.0,78.0,32.0,4.0,109.0,8.0,3.0,4.0,10.0,4.0,1.0,0.264
139,138,Nomar Mazara,SDP,55.0,159.0,171.0,42.0,32.0,8.0,0.0,2.0,16.0,18.0,10.0,0.0,40.0,2.0,0.0,0.0,3.0,0.0,0.0,0.264
140,139,Garrett Stubbs,PHI,50.0,106.0,121.0,28.0,18.0,4.0,1.0,5.0,19.0,16.0,14.0,0.0,30.0,0.0,0.0,1.0,2.0,2.0,0.0,0.264
141,140,Nate Eaton,KCR,44.0,106.0,122.0,28.0,20.0,4.0,3.0,1.0,16.0,12.0,10.0,0.0,30.0,2.0,3.0,1.0,2.0,11.0,1.0,0.264
