player,PAprediction,threeyearavgPA,PA23,lineup23,PA23lineup,PA24lineup,threeyearavgG,G23,G22,G21
Tom Murphy,52,184.0,42.0,7.09,632.0,598.0,56.0,14.0,97.0,0.0
Sam Haggerty,288,147.0,201.0,8.22,612.0,562,51.0,83.0,35.0,35.0
Jose Caballero,0,0.0,0.0,8.41,609.0,616,0.0,0.0,0.0,0.0
Taylor Trammell,154,148.0,117.0,7.75,620.0,580,47.0,43.0,51.0,0.0
Mike Ford,185,149.0,149.0,7.08,633.0,598.0,50.0,50.0,22.0,78.0
Dylan Moore,384,354.0,255.0,7.44,626.0,598.0,111.0,104.0,126.0,103.0
Cade Marlowe,0,0.0,0.0,7.57,624.0,598.0,0.0,0.0,0.0,0.0
Brian O'Keefe,7,4.0,4.0,8.5,607.0,598.0,2.0,2.0,0.0,0.0
Luis Arraez,660,470.0,603.0,1.77,728.0,742,117.0,144.0,121.0,86.0
Jean Segura,362,513.0,387.0,6.15,649.0,598.0,125.0,98.0,131.0,146.0
Garrett Cooper,439,359.0,469.0,4.38,681.0,598.0,94.0,119.0,71.0,92.0
Jazz Chisholm Jr.,261,305.0,241.0,3.31,700.0,706,80.0,60.0,124.0,57.0
Jorge Soler,266,459.0,306.0,2.12,722.0,598.0,112.0,72.0,149.0,116.0
Avisail Garcia,362,485.0,380.0,5.34,664.0,598.0,125.0,98.0,135.0,143.0
Yuli Gurriel,539,603.0,584.0,5.29,665.0,598.0,148.0,146.0,143.0,154.0
