,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
238,"Arrieta, Jake",CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
239,"Sogard, Eric",CHC,0.0,2.0,0.0,0.0,1.0,1.0,8.0,23.0,3.0
240,"Davies, Zach",CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
241,"Duffy, Matt",CHC,6.0,4.0,4.0,10.0,27.0,8.0,9.0,1.0,0.0
242,"Williams, Trevor",CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
243,"Alzolay, Adbert",CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
244,"Wolters, Tony",CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
245,"Mills, Alec",CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
246,"Romine, Austin",CHC,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,0.0
247,"Hoerner, Nico",CHC,2.0,0.0,0.0,0.0,1.0,8.0,13.0,19.0,0.0
248,"Vargas, Ildemaro",CHC,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
249,"Thompson, Keegan",CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
250,"Martini, Nick",CHC,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0
251,"Higgins, P.J.",CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
252,"Ortega, Rafael",CHC,52.0,0.0,0.0,0.0,2.0,12.0,3.0,3.0,1.0
253,"Wisdom, Patrick",CHC,0.0,3.0,12.0,30.0,23.0,12.0,5.0,0.0,0.0
254,"Stewart, Kohl",CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
255,"Alcántara, Sergio",CHC,0.0,0.0,0.0,0.0,0.0,3.0,11.0,49.0,2.0
256,"Lobaton, Jose",CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
257,"Stock, Robert",CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
258,"Chirinos, Robinson",CHC,0.0,0.0,0.0,0.0,4.0,2.0,12.0,4.0,0.0
259,"Romine, Andrew",CHC,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,3.0
260,"Schwindel, Frank",CHC,0.0,45.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0
261,"Fargas, Johneshwy",CHC,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
262,"Deichmann, Greg",CHC,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0
