,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
212,"Rickard, Joey",SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
213,"Robertson, Daniel",SF,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
214,"Smoak, Justin",SF,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
215,"Basabe, Luis Alexander",SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
216,"Hernandez, Cesar",CLE,43.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,"Ramírez, José",CLE,0.0,42.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
218,"Lindor, Francisco",CLE,16.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
219,"Santana, Carlos",CLE,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0
220,"Reyes, Franmil",CLE,0.0,0.0,0.0,0.0,57.0,1.0,0.0,0.0,0.0
221,"Luplow, Jordan",CLE,1.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0
222,"Santana, Domingo",CLE,0.0,0.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0
223,"Pérez, Roberto",CLE,0.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,1.0
224,"Mercado, Oscar",CLE,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,16.0
225,"Johnson, Daniel",CLE,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
226,"Zimmer, Bradley",CLE,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,4.0
227,"León, Sandy",CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
228,"Chang, Yu",CLE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
229,"Freeman, Mike",CLE,0.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0
230,"Allen, Greg",CLE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
231,"Taylor, Beau",CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
232,"DeShields, Delino",CLE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
233,"Naquin, Tyler",CLE,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,0.0
234,"Naylor, Josh",CLE,0.0,0.0,0.0,0.0,0.0,1.0,10.0,5.0,0.0
235,"Hedges, Austin",CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
236,"Long Jr., Shed",SEA,6.0,2.0,0.0,0.0,1.0,5.0,6.0,9.0,2.0
237,"White, Evan",SEA,0.0,4.0,0.0,0.0,11.0,18.0,13.0,6.0,0.0
238,"Seager, Kyle",SEA,0.0,1.0,7.0,51.0,0.0,0.0,0.0,0.0,0.0
