,player,realised_curr,realised_prev,mean_pos_curr,mean_pos_prev,ngames_curr,ngames_prev,volatility,curr_projection,future_projection
193,Tommy La Stella,242.0,615.6,2.5925925925925926,3.3076923076923075,54.0,70.2,0.017237865132768582,602.0437307692307,242.0
194,Alex Dickerson,312.0,459.00000000000006,4.702702702702703,2.3684210526315788,74.0,102.60000000000001,0.016625613410071,535.3766052631579,432.96652702702704
195,Curt Casali,231.0,251.10000000000002,7.592592592592593,8.24,54.0,67.5,0.01971287913427831,358.70709999999997,231.0
196,Steven Duggar,297.0,97.2,7.136363636363637,9.0,66.0,27.0,0.037993572084481175,272.3445,297.0
197,Mike Tauchman,191.0,299.70000000000005,5.2439024390243905,5.777777777777778,41.0,72.9,0.008046483823933559,413.50172222222227,191.0
198,Chadwick Tromp,18.0,172.8,8.0,8.421052631578947,4.0,51.300000000000004,0.00984918436441982,317.31476315789473,18.0
199,Thairo Estrada,132.0,140.4,6.933333333333334,8.333333333333334,30.0,40.5,0.004691358024691359,302.2011666666666,132.0
200,Jaylin Davis,9.0,32.400000000000006,7.5,7.25,2.0,10.8,0.003472222222222222,261.61825,9.0
201,Joey Bart,6.0,299.70000000000005,7.0,7.75,1.0,75.60000000000001,0.02784863945578231,389.07575,6.0
202,Kris Bryant,586.0,396.90000000000003,2.5555555555555554,2.0,90.0,94.5,0.009870244394053918,508.8895,596.5589444444445
203,Jordan Luplow,193.0,248.4,2.4444444444444446,6.25,27.0,64.80000000000001,0.016905054488645023,382.00325,193.0
204,Jose Ramirez,636.0,685.8000000000001,3.0,2.2758620689655173,151.0,156.60000000000002,0.0291319857312723,649.9229482758622,616.0545
205,Eddie Rosario,412.0,623.7,6.291666666666667,4.314814814814815,24.0,145.8,0.01650139079408627,593.6205185185186,463.2872083333333
206,Franmil Reyes,466.0,650.7,4.182608695652174,5.017241379310345,115.0,156.60000000000002,0.03404964309449473,598.4209655172414,516.4078913043478
207,Josh Naylor,250.0,280.8,6.2615384615384615,7.25,65.0,43.2,0.009870099852071006,385.81825000000003,250.0
208,Yu Chang,251.0,35.1,7.142857142857143,8.333333333333334,63.0,8.100000000000001,0.012989557963102936,249.55116666666663,251.0
209,Roberto Perez,161.0,297.0,7.545454545454546,7.833333333333333,44.0,81.0,0.0017781348841954898,386.6936666666667,161.0
210,Andres Gimenez,210.0,356.40000000000003,8.135593220338983,7.827586206896552,59.0,78.30000000000001,0.009814105517945045,416.46484482758626,210.0
211,Ben Gamel,400.0,342.90000000000003,1.0,5.354838709677419,3.0,83.7,0.02098508498092265,440.3398225806452,522.8245
