,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
143,142,Garrett Cooper,MIA,8,27,31,7,5,1,0,1,3,2,2,0,8,2,0,0,0,0,0,.259
144,143,Tyler Stephenson,CIN,9,27,33,7,5,0,0,2,4,6,3,0,5,2,1,0,1,0,0,.259
145,144,Eduardo Escobar,NYM,9,31,40,8,2,5,1,0,5,2,9,0,7,0,0,0,0,0,0,.258
146,145,Rhys Hoskins,PHI,10,31,38,8,3,4,0,1,6,4,7,0,12,0,0,0,1,0,0,.258
147,146,Santiago Espinal,TOR,10,31,35,8,5,3,0,0,2,4,3,1,6,1,0,0,1,2,0,.258
148,147,Frank Schwindel,CHC,9,35,37,9,7,1,0,1,3,4,2,0,5,0,0,0,1,0,0,.257
149,148,Aaron Judge,NYY,10,35,41,9,5,3,0,1,5,1,5,0,10,0,0,0,1,1,0,.257
150,149,Sean Murphy,OAK,10,39,43,10,3,4,1,2,7,8,2,0,13,1,1,0,1,0,0,.256
151,150,Adam Frazier,SEA,10,43,44,11,8,2,1,0,5,7,1,0,6,0,0,0,1,0,0,.256
152,151,Jed Lowrie,OAK,7,20,23,5,4,0,0,1,4,4,3,0,4,0,0,0,0,1,0,.250
153,152,J.D. Martinez,BOS,9,32,38,8,3,4,0,1,6,6,4,0,8,1,1,0,3,0,0,.250
154,153,Kurt Suzuki,LAA,4,16,17,4,3,0,0,1,2,2,1,0,2,0,0,0,1,0,0,.250
155,154,Cesar Hernandez,WSN,11,48,50,12,12,0,0,0,8,0,2,0,10,0,0,0,0,0,0,.250
156,155,Trevor Story,BOS,6,24,25,6,5,1,0,0,1,3,1,0,7,0,0,0,0,0,0,.250
157,156,Brad Miller,TEX,6,20,23,5,2,1,0,2,4,5,2,0,5,0,1,0,0,0,0,.250
158,157,Byron Buxton,MIN,7,24,26,6,0,3,0,3,5,4,1,0,10,1,0,0,0,1,0,.250
159,158,Ryan McMahon,COL,8,28,33,7,3,3,0,1,6,4,2,0,7,3,0,0,0,0,0,.250
160,159,Cody Bellinger,LAD,9,32,37,8,6,1,0,1,4,1,5,0,12,0,0,0,0,3,1,.250
161,160,Sam Hilliard,COL,6,12,13,3,2,1,0,0,2,2,1,0,4,0,0,0,0,0,0,.250
162,161,Austin Riley,ATL,11,40,49,10,5,3,0,2,7,5,7,0,11,2,0,0,0,0,0,.250
163,162,Danny Mendick,CHW,3,4,5,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,.250
164,163,Nick Madrigal,CHC,7,28,31,7,5,2,0,0,5,0,2,0,3,1,0,0,4,0,0,.250
165,164,Trevor Larnach,MIN,4,12,14,3,2,1,0,0,1,2,1,0,3,0,1,0,0,0,0,.250
166,165,Elvis Andrus,OAK,10,33,38,8,3,4,0,1,7,3,5,0,5,0,0,0,3,1,0,.242
167,166,Thairo Estrada,SFG,9,33,34,8,4,2,0,2,9,8,1,0,5,0,0,0,2,1,0,.242
168,167,Wilmer Flores,SFG,8,29,32,7,3,3,0,1,4,4,2,0,5,0,1,0,0,0,0,.241
169,168,Travis d'Arnaud,ATL,7,29,30,7,6,0,0,1,6,4,0,0,7,1,0,0,1,0,0,.241
170,169,Harrison Bader,STL,8,29,32,7,4,3,0,0,4,2,1,0,6,2,0,0,0,1,0,.241
171,170,Nico Hoerner,CHC,9,29,29,7,4,2,0,1,2,4,0,0,4,0,0,0,1,1,0,.241
172,171,Jonathan India,CIN,7,29,30,7,6,1,0,0,3,2,1,0,6,0,0,0,0,0,1,.241
173,172,Yoshi Tsutsugo,PIT,9,29,38,7,7,0,0,0,4,4,7,0,10,0,2,0,0,0,0,.241
174,173,Gary Sanchez,MIN,7,25,27,6,4,1,0,1,1,7,1,0,12,1,0,0,0,0,0,.240
175,174,Spencer Torkelson,DET,9,25,31,6,3,1,0,2,4,5,5,0,10,1,0,0,1,0,0,.240
176,175,Roberto Perez,PIT,7,21,24,5,4,1,0,0,3,1,3,0,9,0,0,0,1,0,0,.238
177,176,Max Stassi,LAA,6,21,24,5,3,1,0,1,3,5,3,0,9,0,0,0,0,0,0,.238
178,177,Raimel Tapia,TOR,6,21,23,5,4,1,0,0,3,0,0,0,4,0,0,1,1,0,0,.238
